                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                  2.556,                 2.3994,                 2.6745,                 2.8478,                0.27543,                0.16868,                0.15408,                0.05701,                      0,                      0,                      0,                      0,                 2.2227,                 1.9704,                  2.629,                 2.8744,             0.00040102,             0.00040102,             0.00040102
                     27,                 2.4967,                 2.3897,                 2.5963,                 2.8145,                0.52271,                0.14133,                 0.1886,                0.06931,                  7e-05,                0.00191,                  5e-05,                  1e-05,                 2.3754,                 1.9784,                 2.6555,                 2.9049,             0.00039581,             0.00039581,             0.00039581
                     28,                 2.4431,                 2.3043,                 2.4776,                  2.756,                0.42937,                0.23966,                0.23466,                0.08945,                      0,                      0,                      0,                      0,                 2.3382,                 1.9356,                  2.437,                 2.7729,             0.00039061,             0.00039061,             0.00039061
                     29,                 2.4169,                 2.2797,                  2.424,                 2.7298,                0.60898,                0.32446,                0.34414,                 0.1491,                 0.1438,                 0.0102,                0.00019,                  3e-05,                 2.1142,                 1.9015,                 2.2981,                 2.7286,              0.0003854,              0.0003854,              0.0003854
                     30,                 2.4474,                  2.305,                  2.559,                 2.7679,                0.61201,                0.34059,                0.33422,                0.13784,                  3e-05,                0.00128,                  2e-05,                      0,                 2.1095,                 1.8926,                 2.3155,                 2.7471,             0.00038019,             0.00038019,             0.00038019
                     31,                  2.371,                 2.3114,                 2.4024,                 2.6846,                 0.4366,                0.35699,                0.33172,                0.14631,                      0,                      0,                      0,                      0,                 2.0692,                 1.8626,                  2.255,                  2.715,             0.00037499,             0.00037499,             0.00037499
                     32,                 2.3222,                 2.2254,                 2.3013,                 2.6849,                0.28621,                0.41832,                0.31731,                0.13109,                      0,                      0,                      0,                      0,                  2.155,                 1.8581,                 2.2483,                 2.7043,             0.00036978,             0.00036978,             0.00036978
                     33,                 2.3553,                 2.2485,                 2.3796,                 2.6968,                0.59461,                0.39899,                0.37188,                0.16825,                 0.1493,                0.01877,                0.00127,                0.00016,                 1.9791,                 1.8256,                 2.0895,                  2.631,             0.00036457,             0.00036457,             0.00036457
                     34,                 2.3175,                 2.2086,                 2.3197,                 2.6598,                 0.6437,                0.38169,                 0.3839,                 0.1566,                0.14604,                0.01089,                0.00056,                  7e-05,                 2.1361,                 1.8255,                 2.1111,                  2.737,             0.00035936,             0.00035936,             0.00035936
                     35,                 2.3184,                 2.1945,                 2.2749,                 2.6445,                0.48247,                0.40437,                0.40051,                0.17833,                0.71992,                0.00163,                0.00092,                0.00013,                  2.086,                 1.8009,                  2.095,                 2.6986,             0.00035416,             0.00035416,             0.00035416
